year,Tajikistan Conflict,Taj vs Kyrg,Kyrgistan Conflict,Tajikistan Average Precipitation,Tajikistan GDP,Kyrgistan Average Precipitation,Kyrgistan GDP,Tajikistan Military Expenditures,Kyrgistan Military Expenditures,Tajikistan Freshwater withdrawals,Kyrgistan Freshwater withdrawals
1998,1,0,0,919,5.31,639,1.65,22.9,26.1,12.046,9.983334
1999,1,0,0,773,3.7,547,1.25,15,23.1,12.1775,10.031667
2000,1,0,0,577,8.32,432,1.37,10,25.8,12.309,10.08
2001,0,0,0,577,9.58,416,1.53,12,22.2,12.1233,9.6845
2002,0,0,0,766,10.8,608,1.61,25,25.9,11.9376,9.289
2003,0,0,0,852,11,656,1.92,34,32.6,11.7519,8.8935
2004,0,0,0,753,10.3,527,2.21,45,37.2,11.5662,8.498
2005,1,0,0,682,6.7,500,2.46,47,39.7,11.3805,8.1025
2006,1,0,0,661,7,424,2.83,47,47.2,11.1948,7.707
2007,0,0,0,621,7.8,438,3.8,47,50.9,11.108689,7.707
2008,0,0,0,575,7.9,386,5.14,52,61.1,11.022578,7.707
2009,1,0,0,755,3.9,497,4.69,47,67.2,10.936466,7.707
2010,1,0,1,716,6.5,552,4.79,53,77.2,10.850355,7.707
2011,1,0,0,672,7.4,512,6.2,71,86.4,10.764244,7.707
2012,0,0,0,680,7.5,384,6.61,76,107.5,10.678133,7.707
2013,1,0,0,640,7.4,468,7.34,85,119,10.592022,7.707
2014,0,0,0,638,6.7,410,7.47,104,128,10.505911,7.707
2015,0,0,0,768,6,510,6.68,100,117,10.4198,7.707
2016,0,0,0,778,6.9,652,6.81,84,115.6,8.749,7.707
2017,0,0,0,634,7.1,487,7.7,78,121.5,7.988,7.707
2018,0,0,0,561,7.6,454,8.27,81,127.9,9.774,7.707
2019,0,0,0,688,7.4,431,8.87,84,128,10.602,7.707
2020,0,0,0,679,4.5,484,7.78,80,128.9,10,7.707
2021,1,1,1,443,9.4,342,8.74,81,133,10,7.707
2022,1,1,1,683,7.3,489,4.9,103,149,10,7.707
